# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-02T00:00:00.0
# Latitude (positive North, ISO 19115): 41.9650
# Longitude (positive East, ISO 19115): 12.7954
# Altitude (m): 166.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2021-10-02
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-01T00:00:00.0/2020-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T01:00:00.0/2020-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T02:00:00.0/2020-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T03:00:00.0/2020-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T04:00:00.0/2020-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T05:00:00.0/2020-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T06:00:00.0/2020-01-01T07:00:00.0;10.3849;3.6093;1.2015;2.4077;31.2085;2.2054;0.0331;2.1723;0.7072;1.0000
2020-01-01T07:00:00.0/2020-01-01T08:00:00.0;175.4965;99.5950;66.1313;33.4637;490.7438;88.3624;58.8589;29.5035;418.8027;1.0000
2020-01-01T08:00:00.0/2020-01-01T09:00:00.0;361.8980;247.1251;192.5380;54.5871;743.3744;226.7150;185.2030;41.5120;714.9041;1.0000
2020-01-01T09:00:00.0/2020-01-01T10:00:00.0;498.5778;362.8518;296.3282;66.5236;835.8607;338.5320;283.9255;54.6065;801.1638;1.0000
2020-01-01T10:00:00.0/2020-01-01T11:00:00.0;576.2252;427.7370;352.5222;75.2148;861.2125;405.8620;345.3770;60.4850;843.6736;1.0000
2020-01-01T11:00:00.0/2020-01-01T12:00:00.0;589.5502;436.2864;356.4218;79.8645;851.0278;414.9483;350.5043;64.4440;836.9042;1.0000
2020-01-01T12:00:00.0/2020-01-01T13:00:00.0;537.6454;389.0803;311.4132;77.6671;814.7982;368.3900;305.9461;62.4440;800.4420;1.0000
2020-01-01T13:00:00.0/2020-01-01T14:00:00.0;424.0468;291.1701;223.5818;67.5883;739.1961;271.8448;217.8532;53.9916;719.9387;1.0000
2020-01-01T14:00:00.0/2020-01-01T15:00:00.0;256.4939;154.6080;106.0337;48.5743;565.9282;139.7330;98.7684;40.9646;522.8880;1.0000
